No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic,
1," 1 _ حديث : لا بأس ببول الحمار وكل ما أكل لحمه . رواه الخطيب في تأريخه عن علي رضي الله عنه مرفوعاً . وفي إسناده مجهولان ، وهو موضوع ، والمتهم بوضعه إسحاق ( 3 ) بن محمد بن أبان النخعي .",, لا بأس ببول الحمار وكل ما أكل لحمه," رواه الخطيب في تأريخه عن علي رضي الله عنه مرفوعاً . وفي إسناده مجهولان ، وهو موضوع ، والمتهم بوضعه إسحاق ( 3 ) بن محمد بن أبان النخعي",موضوع,non-authentic,كتاب الطهارة,
2,"  2 _ حديث : الدم مقدار الدرهم يغسل وتعاد منه الصلاة . رواه الخطيب من حديث أبي هريرة مرفوعاً ، وهو موضوع ، والمتهم به نوح ابن أبي مريم . ",, الدم مقدار الدرهم يغسل وتعاد منه الصلاة," رواه الخطيب من حديث أبي هريرة مرفوعاً ، وهو موضوع ، والمتهم به نوح ابن أبي مريم",موضوع,non-authentic,كتاب الطهارة,
3," 3 _ قول ابن عمرو ( 4 ) : ماء البحر لا يجزي من جنابة ، ولا يتوضأ منه . لأن تحت البحر ناراً ، وتحت النار بحراً . حتى عد سبعة أبحر وسبع نيار . قال الجوزقاني : باطل تفرد به محمد بن المهاجر ، وكان يضع الحديث ، واستدركه السيوطي بأنه أخرجه ابن أبي شيبة في مصنفه عنه بإسناد ليس فيه محمد بن المهاجر ، وأخرجه أيضا البيهقي بإسناد ليس في المذكور ، وأخرجه الديلمي عنه موقوفاً . ", ابن عمرو," ماء البحر لا يجزي من جنابة ، ولا يتوضأ منه  لأن تحت البحر ناراً ، وتحت النار بحراً . حتى عد سبعة أبحر وسبع نيار ."," قال الجوزقاني : باطل تفرد به محمد بن المهاجر ، وكان يضع الحديث ، واستدركه السيوطي بأنه أخرجه ابن أبي شيبة في مصنفه عنه بإسناد ليس فيه محمد بن المهاجر ، وأخرجه أيضا البيهقي بإسناد ليس في المذكور ، وأخرجه الديلمي عنه موقوفاً . ",باطل,non-authentic,كتاب الطهارة,
4," 4 _ قول أبي هريرة : ماءان لا يجزيان عن غسل الجنابة ؛ ماء البحر وماء الحمام . قال الجوزقاني : باطل تفرد به محمد بن المهاجر أيضاً ، وكان يضع الحديث ، واستدركه السيوطي بأنه أخرجه ابن أبي شيبة في مصنفه ، بإسناد ليس فيه محمد بن المهاجر ، وأخرجه أيضاً  عبدالرزاق من قول عبدالله بن عمرو ابن العاص ( 5 ) . ", أبي هريرة, ماءان لا يجزيان عن غسل الجنابة ؛ ماء البحر وماء الحمام," قال الجوزقاني : باطل تفرد به محمد بن المهاجر أيضاً ، وكان يضع الحديث ، واستدركه السيوطي بأنه أخرجه ابن أبي شيبة في مصنفه ، بإسناد ليس فيه محمد بن المهاجر ، وأخرجه أيضاً  عبدالرزاق من قول عبدالله بن عمرو ابن العاص ( ",باطل,non-authentic,كتاب الطهارة,
5,"5 _ حديث : إذا بلغ الماء أربعين قلة لم يحمل الخبث . رواه ابن عدى عن جابر مرفوعاً ، وقال : لا يصح ، خلط فيه القاسم ابن عبدالله العمرى ، واستدركه السيوطى فقال : له طريق أخرى عن جابر ، أخرجها الدارقطنى فى سننه ( 6 ) .  ",, إذا بلغ الماء أربعين قلة لم يحمل الخبث," رواه ابن عدى عن جابر مرفوعاً ، وقال : لا يصح ، خلط فيه القاسم ابن عبدالله العمرى ، واستدركه السيوطى فقال : له طريق أخرى عن جابر ، أخرجها الدارقطنى فى سننه ( 6 ) .  ",لا يصح,non-authentic,كتاب الطهارة,
6,"6 _ حديث : غسل الإناء وطهر الفناء ، يورثان الغنى . رواه الخطيب عن أنس مرفوعاً ، وقال لم أكتبه إلا من حديث أبى الحسن الزهرى ، وهو كذاب . وقال الذهبى في الميزان : وضعه علي بن محمد الزهري . ",,": غسل الإناء وطهر الفناء ، يورثان الغنى"," رواه الخطيب عن أنس مرفوعاً ، وقال لم أكتبه إلا من حديث أبى الحسن الزهرى ، وهو كذاب . وقال الذهبى في الميزان : وضعه علي بن محمد الزهري . ",,non-authentic,كتاب الطهارة,
7,"7 _ حديث : استقبل رسول الله  صلى الله عليه وآله وسلم جبريل ، فناوله يده ، فأبى أن يتناولها . فقال : يا جبريل ما منعك أن تأخذ بيدى ؟ فقال : إنك أخذت بيد يهودى ، فكرهت أن تمس يدى يداً مستها يد كافر ، فدعا بماء فتوضأ ، فناوله يده ، فأخذها بيده .رواه العقيلى عن الزبير مرفوعاً ، وقال : موضوع وفى إسناده عمر بن أبي عمر  ( 7 ) العبدى ، متروك .",," استقبل رسول الله  صلى الله عليه وآله وسلم جبريل ، فناوله يده ، فأبى أن يتناولها . فقال : يا جبريل ما منعك أن تأخذ بيدى ؟ فقال : إنك أخذت بيد يهودى ، فكرهت أن تمس يدى يداً مستها يد كافر ، فدعا بماء فتوضأ ، فناوله يده ، فأخذها بيده","رواه العقيلى عن الزبير مرفوعاً ، وقال : موضوع وفى إسناده عمر بن أبي عمر  ( 7 ) العبدى ، متروك .",موضوع,non-authentic,كتاب الطهارة,
8,"8 _ حديث : من صافح يهودياً أو نصرانياً فليتوضأ وليغسل يده . رواه ابن عدى عن ابن عباس رضى الله عنه مرفوعاً ، وقال : لا يصح ، وفى إسناده إبراهيم بن هانئ ، مجهول يحدث بالأباطيل .",, من صافح يهودياً أو نصرانياً فليتوضأ وليغسل يده," رواه ابن عدى عن ابن عباس رضى الله عنه مرفوعاً ، وقال : لا يصح ، وفى إسناده إبراهيم بن هانئ ، مجهول يحدث بالأباطيل .", لا يصح,non-authentic,كتاب الطهارة,
9,"9 _ حديث : لا تغتسلوا بالماء الذى يسخن في الشمس ، فإنه يعدي من البرص . رواه العقيلى عن أنس مرفوعاً ، وقال : ليس فى الماء المشمس شئ يصح مسنداً ، إنما يروى فيه شئ من قول عمر بن الخطاب وفى إسناده ( 8 ) سوادة , وهو مجهول .",," لا تغتسلوا بالماء الذى يسخن في الشمس ، فإنه يعدي من البرص"," رواه العقيلى عن أنس مرفوعاً ، وقال : ليس فى الماء المشمس شئ يصح مسنداً ، إنما يروى فيه شئ من قول عمر بن الخطاب وفى إسناده ( 8 ) سوادة , وهو مجهول .",,non-authentic,كتاب الطهارة,
10,"10 _ حديث : أسخنت لرسول الله  صلى الله عليه وآله وسلم ماء فى الشمس فقال : لا تفعلى يا حميراء ، فإنه يورث البرص . رواه أبو نعيم فى الطب عن عائشة مرفوعاً ، وقال فى إسناده :خالد بن إسمعيل لا يحتج به ، وقال الداراقطني : متروك ، ورواه الدارقطني من طريق أخرى فيها الهيثم بن عدى ، كذاب . وأخرجه ابن حبان من طريق فيها وهب بن وهب ، وهو كذاب . وله طرق لا تخلو من كذاب أو مجهول . ",,": أسخنت لرسول الله  صلى الله عليه وآله وسلم ماء فى الشمس فقال : لا تفعلى يا حميراء ، فإنه يورث البرص"," رواه أبو نعيم فى الطب عن عائشة مرفوعاً ، وقال فى إسناده :خالد بن إسمعيل لا يحتج به ، وقال الداراقطني : متروك ، ورواه الدارقطني من طريق أخرى فيها الهيثم بن عدى ، كذاب . وأخرجه ابن حبان من طريق فيها وهب بن وهب ، وهو كذاب . وله طرق لا تخلو من كذاب أو مجهول . ",,non-authentic,كتاب الطهارة,
11,"11 _ حديث : إنما حرمت دخول الحمام بغير مئزر . رواه ابن الجوزى عن أنس مرفوعاً ، وقال موضوع , فيه جماعة مجهولون .",, إنما حرمت دخول الحمام بغير مئزر," رواه ابن الجوزى عن أنس مرفوعاً ، وقال موضوع , فيه جماعة مجهولون .",,non-authentic,كتاب الطهارة,
12,"12حديث المضمضة والاستنشاق ثلاثاً , فريضة للجنب .رواه ابن عدى مرفوعاً عن أبى هريرة , وقال ابن حبان والداراقطني : وضعه بركة بن محمد الحلبى .",," المضمضة والاستنشاق ثلاثاً , فريضة للجنب","رواه ابن عدى مرفوعاً عن أبى هريرة , وقال ابن حبان والداراقطني : وضعه بركة بن محمد الحلبى .",,non-authentic,كتاب الطهارة,
