No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
1,1- آخر الطب الكي ليس بحديث ,,آخر الطب الكي, ليس بحديث,,non-authentic, باب الهمزة 
2_1,2-آية من كتاب الله خير من محمد وآله وجد بخط بعضهم زاد فيه لأن القرآن كلام الله غير مخلوق ولم يعزه إلى صحابي ومثله لا يعتمد عليه الجد الحثيث ج:1 ص:37 لكن أخرج الديلمي عن علي القرآن أفضل من كل شيء من دون الله وعن أنس لقراءة آية من كتاب الله أفضل مما تحت العرش والطبراني عن ابن مسعود موقوفا كل آية من كتاب الله خير مما في السماء والأرض ,,آية من كتاب الله خير من محمد وآله وجد بخط بعضهم زاد فيه لأن القرآن كلام الله غير مخلوق ولم يعزه إلى صحابي, ومثله لا يعتمد عليه الجد الحثيث ج:1 ص:37 لكن أخرج الديلمي عن علي,,non-authentic, باب الهمزة 
2_2,, أخرج الديلمي عن علي, القرآن أفضل من كل شيء من دون الله ,,,non-authentic, باب الهمزة 
2_3,,وعن أنس, لقراءة آية من كتاب الله أفضل مما تحت العرش,,,non-authentic, باب الهمزة 
2_4,,, كل آية من كتاب الله خير مما في السماء والأرض,,,non-authentic, باب الهمزة 
3,3- الأب أحق بالطاعة والأم أحق بالبر هو من كلام ابن المبارك ,,الأب أحق بالطاعة والأم أحق بالبر,هو من كلام ابن المبارك ,,non-authentic, باب الهمزة 
4,4- أبى الله أن يصح إلا كتابه لا يعرف لكن جاء عن الشافعي لقد ألفت هذه الكتب ولم آل فيها ولابد أن يوجد فيها الخطأ لأن الله تعالى يقول ولو كان من عند غير الله لوجدوا فيه اختلافا كثيرا النساء82 ,,أبى الله أن يصح إلا كتابه,لا يعرف لكن جاء عن الشافعي لقد ألفت هذه الكتب ولم آل فيها ولابد أن يوجد فيها الخطأ لأن الله تعالى يقول ولو كان من عند غير الله لوجدوا فيه اختلافا كثيرا النساء82 ,,non-authentic, باب الهمزة 
5,5- ابق للصلح موضعا من كلام عمر بن ذر فعن سفيان بن عيينة كان ابن عياش يقع في عمر بن ذر فلقيه عمر فقال يا هذا لا تفرط في شتمنا وابق للصلح موضعا فإنا لا نكافئ من عصى الله فينا بأكثر من أن نطيع الله فيه ,,ابق للصلح موضعا,من كلام عمر بن ذر فعن سفيان بن عيينة كان ابن عياش يقع في عمر بن ذر فلقيه عمر فقال يا هذا لا تفرط في شتمنا وابق للصلح موضعا فإنا لا نكافئ من عصى الله فينا بأكثر من أن نطيع الله فيه ,,non-authentic, باب الهمزة 
6_1,6- اتق شر من أحسنت إليه ليس بحديثلكن جاء عن الجد الحثيث ج:1 ص:38 محمد بن حاتم المظفري اتق شر من يصحبك لنائلة فإنها إذا انقطعت عنه لم يعذر ولم يبال ما قال وما قيل فيه ,,اتق شر من أحسنت إليه ليس, ليس بحديثلكن جاء عن الجد الحثيث ج:1 ص:38 محمد بن حاتم المظفري,,non-authentic, باب الهمزة 
6_2,,, اتق شر من يصحبك لنائلة فإنها إذا انقطعت عنه لم يعذر ولم يبال ما قال وما قيل فيه ,,,non-authentic, باب الهمزة 
